# CoordinateSystem: PROJCS["SIRGAS 2000 / UTM zone 22S",GEOGCS["SIRGAS 2000",DATUM["Sistema de Referencia Geocentrico para las AmericaS 2000",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6674"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4674"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-51],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",10000000],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","31982"]]
#Label	X/Easting	Y/Northing	Z/Altitude	Accuracy_X/Y/Z_(m)	Error_(m)	X_error	Y_error	Z_error	X_est	Y_est	Z_est
C1	677326.367000	7183311.561000	918.610800	0.005000	0.020234	-0.003611	-0.019830	0.001780	677326.363390	7183311.541173	918.612580
C2	677232.615000	7183347.923000	907.515260	0.005000	0.035733	0.015842	-0.017167	0.027040	677232.630839	7183347.905835	907.542300
C3	677348.363000	7183404.373000	910.354550	0.005000	0.058014	-0.053669	0.016544	-0.014546	677348.309339	7183404.389541	910.340004
C4	677277.037000	7183448.112000	907.535640	0.005000	0.022825	0.012372	-0.012106	0.014878	677277.049370	7183448.099896	907.550518
C5	677315.140000	7183513.858000	908.344700	0.005000	0.042977	0.035524	0.024051	0.002569	677315.175519	7183513.882047	908.347269
C6	677388.469000	7183489.352000	913.612550	0.005000	0.028445	-0.018695	0.008075	0.019860	677388.450308	7183489.360074	913.632410
C7	677320.593000	7183569.561000	907.719060	0.005000	0.062811	0.040756	0.001669	-0.047764	677320.633750	7183569.562669	907.671296
C8	677392.859000	7183541.191000	913.166440	0.005000	0.016195	-0.012838	0.006626	0.007318	677392.846164	7183541.197625	913.173758
C9	677336.586000	7183609.668000	904.742100	0.005000	0.057240	0.030786	-0.032147	0.035989	677336.616781	7183609.635858	904.778089
C10	677433.145000	7183591.339000	912.720030	0.005000	0.040840	0.033821	0.016935	0.015403	677433.178816	7183591.355932	912.735433
C11	677508.114000	7183756.669000	914.324300	0.005000	0.121302	0.075170	0.067551	-0.067086	677508.189158	7183756.736541	914.257214
C12	677413.250000	7183781.707000	913.673100	0.005000	0.267710	-0.163518	-0.202999	-0.061006	677413.086507	7183781.504032	913.612094
C13	677524.487000	7183823.253000	912.853400	0.005000	0.055878	0.040811	0.010890	-0.036581	677524.527805	7183823.263888	912.816819
C14	677478.561000	7183839.697000	912.882800	0.005000	0.063588	0.022697	-0.006043	0.059091	677478.583693	7183839.690958	912.941891
C15	677582.844000	7183862.566000	911.776800	0.005000	0.021093	-0.011608	-0.017122	0.004124	677582.832394	7183862.548881	911.780924
C17	677607.069000	7183923.885000	909.236300	0.005000	0.045376	-0.025557	0.024453	0.028423	677607.043447	7183923.909449	909.264723
C16	677471.604000	7183917.108000	911.883500	0.005000	0.111630	-0.054358	-0.094009	0.025859	677471.549651	7183917.014005	911.909359
C18	677507.994000	7183971.269000	907.726900	0.005000	0.025867	-0.014884	0.000505	-0.021150	677507.979118	7183971.269505	907.705750
C19	677521.674000	7184036.352000	905.395200	0.005000	0.043437	0.031085	-0.029653	-0.006418	677521.705080	7184036.322351	905.388782
C20	677640.215000	7183968.355000	907.218600	0.005000	0.047319	-0.043051	0.005015	0.018987	677640.171955	7183968.360015	907.237587
C21	677557.117000	7184104.994000	907.078740	0.005000	0.072365	0.046220	0.038495	0.040231	677557.163213	7184105.032489	907.118971
C22	677664.590000	7184086.161000	909.779850	0.005000	0.060191	-0.030771	0.044722	-0.026000	677664.559234	7184086.205715	909.753850
C23	677577.121000	7184173.381000	907.501650	0.005000	0.035539	0.026828	0.012007	-0.019977	677577.147824	7184173.393005	907.481673
C24	677675.328000	7184140.093000	910.687560	0.005000	0.037232	-0.028570	-0.014256	-0.019150	677675.299434	7184140.078746	910.668410
